Any,Codi_districte,Nom_districte,Codi_barri,Nom_barri,Seccio_censal,Desc_valors,Valors
2021,1,Ciutat Vella,1,el Raval,1,Valor_cadastral_total_€,66555116.07
2021,1,Ciutat Vella,1,el Raval,2,Valor_cadastral_total_€,51047390.57
2021,1,Ciutat Vella,1,el Raval,3,Valor_cadastral_total_€,72422451.97
2021,1,Ciutat Vella,1,el Raval,4,Valor_cadastral_total_€,93577566.21
2021,1,Ciutat Vella,1,el Raval,5,Valor_cadastral_total_€,100662701.86
2021,1,Ciutat Vella,1,el Raval,6,Valor_cadastral_total_€,62518602.30
2021,1,Ciutat Vella,1,el Raval,7,Valor_cadastral_total_€,56603207.58
2021,1,Ciutat Vella,1,el Raval,8,Valor_cadastral_total_€,63149281.73
2021,1,Ciutat Vella,1,el Raval,9,Valor_cadastral_total_€,54871540.08
2021,1,Ciutat Vella,1,el Raval,10,Valor_cadastral_total_€,46451988.12
2021,1,Ciutat Vella,1,el Raval,11,Valor_cadastral_total_€,77348813.05
2021,1,Ciutat Vella,1,el Raval,12,Valor_cadastral_total_€,60276125.50
2021,1,Ciutat Vella,1,el Raval,13,Valor_cadastral_total_€,42777192.04
2021,1,Ciutat Vella,1,el Raval,14,Valor_cadastral_total_€,46805461.99
2021,1,Ciutat Vella,1,el Raval,15,Valor_cadastral_total_€,63480395.59
2021,1,Ciutat Vella,1,el Raval,16,Valor_cadastral_total_€,61960570.59
2021,1,Ciutat Vella,1,el Raval,17,Valor_cadastral_total_€,56910400.97
2021,1,Ciutat Vella,1,el Raval,18,Valor_cadastral_total_€,49335589.14
2021,1,Ciutat Vella,1,el Raval,19,Valor_cadastral_total_€,109767191.55
2021,1,Ciutat Vella,1,el Raval,20,Valor_cadastral_total_€,125209097.36
2021,1,Ciutat Vella,1,el Raval,21,Valor_cadastral_total_€,163900089.44
2021,1,Ciutat Vella,2,el Gòtic,22,Valor_cadastral_total_€,156522440.35
2021,1,Ciutat Vella,2,el Gòtic,23,Valor_cadastral_total_€,177303429.49
2021,1,Ciutat Vella,2,el Gòtic,25,Valor_cadastral_total_€,105983157.19
2021,1,Ciutat Vella,2,el Gòtic,26,Valor_cadastral_total_€,88248457.93
2021,1,Ciutat Vella,2,el Gòtic,27,Valor_cadastral_total_€,101805366.14
2021,1,Ciutat Vella,2,el Gòtic,28,Valor_cadastral_total_€,142402087.17
2021,1,Ciutat Vella,2,el Gòtic,29,Valor_cadastral_total_€,80224361.26
2021,1,Ciutat Vella,2,el Gòtic,30,Valor_cadastral_total_€,137410386.24
2021,1,Ciutat Vella,2,el Gòtic,31,Valor_cadastral_total_€,100068222.29
2021,1,Ciutat Vella,3,la Barceloneta,32,Valor_cadastral_total_€,77212986.73
2021,1,Ciutat Vella,3,la Barceloneta,33,Valor_cadastral_total_€,40016269.83
2021,1,Ciutat Vella,3,la Barceloneta,34,Valor_cadastral_total_€,35132259.25
2021,1,Ciutat Vella,3,la Barceloneta,35,Valor_cadastral_total_€,38357926.11
2021,1,Ciutat Vella,3,la Barceloneta,36,Valor_cadastral_total_€,74680423.42
2021,1,Ciutat Vella,3,la Barceloneta,37,Valor_cadastral_total_€,46578073.25
2021,1,Ciutat Vella,3,la Barceloneta,38,Valor_cadastral_total_€,44239813.46
2021,1,Ciutat Vella,3,la Barceloneta,39,Valor_cadastral_total_€,53293139.80
2021,1,Ciutat Vella,3,la Barceloneta,40,Valor_cadastral_total_€,46254253.90
2021,1,Ciutat Vella,3,la Barceloneta,41,Valor_cadastral_total_€,48400076.06
2021,1,Ciutat Vella,3,la Barceloneta,42,Valor_cadastral_total_€,82850492.08
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",43,Valor_cadastral_total_€,136778008.24
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",44,Valor_cadastral_total_€,97848808.64
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",45,Valor_cadastral_total_€,117052796.06
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",46,Valor_cadastral_total_€,105635935.58
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",47,Valor_cadastral_total_€,88392833.49
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",48,Valor_cadastral_total_€,88928503.94
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",49,Valor_cadastral_total_€,72574487.06
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",50,Valor_cadastral_total_€,68549891.55
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",51,Valor_cadastral_total_€,66240091.05
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",52,Valor_cadastral_total_€,172906984.36
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",53,Valor_cadastral_total_€,84981325.63
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",54,Valor_cadastral_total_€,57635815.59
2021,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",55,Valor_cadastral_total_€,69002216.52
2021,2,Eixample,5,el Fort Pienc,1,Valor_cadastral_total_€,62917115.91
2021,2,Eixample,5,el Fort Pienc,2,Valor_cadastral_total_€,85939237.05
2021,2,Eixample,5,el Fort Pienc,3,Valor_cadastral_total_€,49470614.17
2021,2,Eixample,5,el Fort Pienc,4,Valor_cadastral_total_€,60812976.07
2021,2,Eixample,5,el Fort Pienc,5,Valor_cadastral_total_€,111966510.69
2021,2,Eixample,5,el Fort Pienc,6,Valor_cadastral_total_€,101270520.24
2021,2,Eixample,5,el Fort Pienc,7,Valor_cadastral_total_€,75463021.18
2021,2,Eixample,5,el Fort Pienc,8,Valor_cadastral_total_€,89877797.73
2021,2,Eixample,5,el Fort Pienc,9,Valor_cadastral_total_€,84149718.35
2021,2,Eixample,5,el Fort Pienc,10,Valor_cadastral_total_€,57609860.14
2021,2,Eixample,5,el Fort Pienc,11,Valor_cadastral_total_€,54691224.42
2021,2,Eixample,5,el Fort Pienc,12,Valor_cadastral_total_€,59310846.92
2021,2,Eixample,5,el Fort Pienc,13,Valor_cadastral_total_€,43024406.93
2021,2,Eixample,5,el Fort Pienc,14,Valor_cadastral_total_€,53679755.98
2021,2,Eixample,5,el Fort Pienc,15,Valor_cadastral_total_€,64596796.12
2021,2,Eixample,5,el Fort Pienc,16,Valor_cadastral_total_€,95606746.53
2021,2,Eixample,5,el Fort Pienc,17,Valor_cadastral_total_€,103512206.68
2021,2,Eixample,5,el Fort Pienc,18,Valor_cadastral_total_€,106692059.19
2021,2,Eixample,5,el Fort Pienc,19,Valor_cadastral_total_€,97272232.61
2021,2,Eixample,5,el Fort Pienc,20,Valor_cadastral_total_€,66664250.01
2021,2,Eixample,6,la Sagrada Família,21,Valor_cadastral_total_€,61670174.42
2021,2,Eixample,6,la Sagrada Família,22,Valor_cadastral_total_€,52471095.83
2021,2,Eixample,6,la Sagrada Família,23,Valor_cadastral_total_€,45811271.91
2021,2,Eixample,6,la Sagrada Família,24,Valor_cadastral_total_€,47606691.20
2021,2,Eixample,6,la Sagrada Família,25,Valor_cadastral_total_€,51809550.61
2021,2,Eixample,6,la Sagrada Família,26,Valor_cadastral_total_€,91386361.50
2021,2,Eixample,6,la Sagrada Família,27,Valor_cadastral_total_€,95004146.21
2021,2,Eixample,6,la Sagrada Família,28,Valor_cadastral_total_€,91976886.92
2021,2,Eixample,6,la Sagrada Família,29,Valor_cadastral_total_€,56348209.90
2021,2,Eixample,6,la Sagrada Família,30,Valor_cadastral_total_€,54146868.11
2021,2,Eixample,6,la Sagrada Família,31,Valor_cadastral_total_€,50748135.77
2021,2,Eixample,6,la Sagrada Família,32,Valor_cadastral_total_€,41864018.95
2021,2,Eixample,6,la Sagrada Família,33,Valor_cadastral_total_€,48239256.56
2021,2,Eixample,6,la Sagrada Família,34,Valor_cadastral_total_€,49321132.63
2021,2,Eixample,6,la Sagrada Família,35,Valor_cadastral_total_€,62833148.24
2021,2,Eixample,6,la Sagrada Família,36,Valor_cadastral_total_€,55261396.92
2021,2,Eixample,6,la Sagrada Família,37,Valor_cadastral_total_€,54714750.90
2021,2,Eixample,6,la Sagrada Família,38,Valor_cadastral_total_€,67115596.50
2021,2,Eixample,6,la Sagrada Família,39,Valor_cadastral_total_€,80203891.48
2021,2,Eixample,6,la Sagrada Família,40,Valor_cadastral_total_€,66506709.50
2021,2,Eixample,6,la Sagrada Família,41,Valor_cadastral_total_€,74475744.06
2021,2,Eixample,6,la Sagrada Família,42,Valor_cadastral_total_€,76588190.07
2021,2,Eixample,6,la Sagrada Família,43,Valor_cadastral_total_€,73305761.59
2021,2,Eixample,6,la Sagrada Família,44,Valor_cadastral_total_€,52668721.47
2021,2,Eixample,6,la Sagrada Família,45,Valor_cadastral_total_€,55729120.60
2021,2,Eixample,6,la Sagrada Família,46,Valor_cadastral_total_€,85717539.44
2021,2,Eixample,6,la Sagrada Família,47,Valor_cadastral_total_€,89858129.32
2021,2,Eixample,6,la Sagrada Família,48,Valor_cadastral_total_€,57518550.32
2021,2,Eixample,6,la Sagrada Família,49,Valor_cadastral_total_€,95733725.98
2021,2,Eixample,6,la Sagrada Família,50,Valor_cadastral_total_€,73423665.29
2021,2,Eixample,6,la Sagrada Família,51,Valor_cadastral_total_€,88782436.64
2021,2,Eixample,6,la Sagrada Família,52,Valor_cadastral_total_€,98155374.23
2021,2,Eixample,6,la Sagrada Família,53,Valor_cadastral_total_€,103241236.07
2021,2,Eixample,6,la Sagrada Família,54,Valor_cadastral_total_€,101026673.52
2021,2,Eixample,7,la Dreta de l'Eixample,55,Valor_cadastral_total_€,115430718.11
2021,2,Eixample,7,la Dreta de l'Eixample,56,Valor_cadastral_total_€,98778041.92
2021,2,Eixample,7,la Dreta de l'Eixample,57,Valor_cadastral_total_€,94797349.40
2021,2,Eixample,7,la Dreta de l'Eixample,58,Valor_cadastral_total_€,96763654.19
2021,2,Eixample,7,la Dreta de l'Eixample,59,Valor_cadastral_total_€,135722384.48
2021,2,Eixample,7,la Dreta de l'Eixample,60,Valor_cadastral_total_€,125040955.24
2021,2,Eixample,7,la Dreta de l'Eixample,61,Valor_cadastral_total_€,82805648.55
2021,2,Eixample,7,la Dreta de l'Eixample,62,Valor_cadastral_total_€,136736445.82
2021,2,Eixample,7,la Dreta de l'Eixample,63,Valor_cadastral_total_€,151522040.13
2021,2,Eixample,7,la Dreta de l'Eixample,64,Valor_cadastral_total_€,114396159.95
2021,2,Eixample,7,la Dreta de l'Eixample,65,Valor_cadastral_total_€,140859422.22
2021,2,Eixample,7,la Dreta de l'Eixample,66,Valor_cadastral_total_€,103446548.94
2021,2,Eixample,7,la Dreta de l'Eixample,67,Valor_cadastral_total_€,99936125.68
2021,2,Eixample,7,la Dreta de l'Eixample,68,Valor_cadastral_total_€,107124189.62
2021,2,Eixample,7,la Dreta de l'Eixample,69,Valor_cadastral_total_€,107322366.34
2021,2,Eixample,7,la Dreta de l'Eixample,70,Valor_cadastral_total_€,121252873.41
2021,2,Eixample,7,la Dreta de l'Eixample,71,Valor_cadastral_total_€,150579116.22
2021,2,Eixample,7,la Dreta de l'Eixample,72,Valor_cadastral_total_€,114041201.51
2021,2,Eixample,7,la Dreta de l'Eixample,73,Valor_cadastral_total_€,157576202.06
2021,2,Eixample,7,la Dreta de l'Eixample,74,Valor_cadastral_total_€,127083024.59
2021,2,Eixample,7,la Dreta de l'Eixample,75,Valor_cadastral_total_€,118659319.83
2021,2,Eixample,7,la Dreta de l'Eixample,76,Valor_cadastral_total_€,178880059.61
2021,2,Eixample,7,la Dreta de l'Eixample,77,Valor_cadastral_total_€,329781653.75
2021,2,Eixample,7,la Dreta de l'Eixample,78,Valor_cadastral_total_€,307902142.82
2021,2,Eixample,7,la Dreta de l'Eixample,79,Valor_cadastral_total_€,301488837.93
2021,2,Eixample,7,la Dreta de l'Eixample,80,Valor_cadastral_total_€,310782647.41
2021,2,Eixample,7,la Dreta de l'Eixample,81,Valor_cadastral_total_€,420725597.45
2021,2,Eixample,7,la Dreta de l'Eixample,82,Valor_cadastral_total_€,194388162.83
2021,2,Eixample,7,la Dreta de l'Eixample,83,Valor_cadastral_total_€,359787234.84
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,84,Valor_cadastral_total_€,179194034.58
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,85,Valor_cadastral_total_€,171080381.93
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,86,Valor_cadastral_total_€,140016611.08
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,87,Valor_cadastral_total_€,104753304.40
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,88,Valor_cadastral_total_€,141797613.71
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,89,Valor_cadastral_total_€,164763471.62
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,90,Valor_cadastral_total_€,123815022.35
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,91,Valor_cadastral_total_€,166767902.81
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,92,Valor_cadastral_total_€,130492765.21
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,93,Valor_cadastral_total_€,117047947.60
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,94,Valor_cadastral_total_€,109569831.92
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,95,Valor_cadastral_total_€,99070771.99
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,96,Valor_cadastral_total_€,86185080.87
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,97,Valor_cadastral_total_€,71435851.99
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,98,Valor_cadastral_total_€,107657185.14
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,99,Valor_cadastral_total_€,110647594.98
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,100,Valor_cadastral_total_€,91195870.80
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,101,Valor_cadastral_total_€,132088212.24
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,102,Valor_cadastral_total_€,94243018.12
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,103,Valor_cadastral_total_€,102709058.10
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,104,Valor_cadastral_total_€,79667617.38
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,105,Valor_cadastral_total_€,137855017.68
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,106,Valor_cadastral_total_€,122598448.24
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,107,Valor_cadastral_total_€,149462441.15
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,108,Valor_cadastral_total_€,144982411.42
2021,2,Eixample,8,l'Antiga Esquerra de l'Eixample,109,Valor_cadastral_total_€,182710069.14
2021,2,Eixample,9,la Nova Esquerra de l'Eixample,110,Valor_cadastral_total_€,124021606.44
